1	9.98478	0.003	2.30277	2.30264	0.09	0.12
101	19.3637	0.003	2.30277	2.30228	0.08	0.14
201	28.5038	0.003	2.30228	2.30082	0.08	0.05
301	33.3377	0.003	2.28528	2.26021	0.15	0.24
401	46.2021	0.003	2.10724	2.11837	0.15	0.17
501	55.5882	0.003	2.10469	2.01343	0.13	0.32
601	64.3295	0.003	2.22888	1.91448	0.29	0.27
701	69.1545	0.003	1.81102	1.89567	0.33	0.23
801	82.087	0.003	1.98248	1.82922	0.26	0.32
901	90.9284	0.003	2.03448	1.82305	0.27	0.24
1001	99.5356	0.00255	1.93696	1.7828	0.22	0.25
1101	104.382	0.00255	1.76253	1.60842	0.32	0.3
1201	117.492	0.00255	1.79751	1.66554	0.33	0.31
1301	126.249	0.00255	1.61317	1.52176	0.42	0.35
1401	134.399	0.00255	1.61339	1.48412	0.42	0.35
1501	139.248	0.00255	1.73417	1.54123	0.36	0.37
1601	152.776	0.00255	1.86538	1.58123	0.39	0.35
1701	162.054	0.00255	1.69801	1.4431	0.44	0.38
1801	170.149	0.00255	1.62139	1.4353	0.42	0.42
1901	174.995	0.00255	1.62654	1.37296	0.42	0.46
2001	188.386	0.0021675	1.7661	1.40998	0.36	0.51
2101	197.417	0.0021675	1.64501	1.30108	0.43	0.48
2201	205.283	0.0021675	1.41029	1.29992	0.51	0.46
2301	210.141	0.0021675	1.32704	1.32343	0.54	0.29
2401	223.752	0.0021675	1.56853	1.21112	0.43	0.5
2501	232.529	0.0021675	1.19465	1.19409	0.53	0.47
2601	240.302	0.0021675	1.46888	1.24552	0.47	0.52
2701	245.157	0.0021675	1.19066	1.12031	0.6	0.4
2801	258.917	0.0021675	1.24212	1.17707	0.56	0.58
2901	267.643	0.0021675	1.39635	1.18054	0.53	0.53
3001	275.148	0.00184238	1.48343	1.12925	0.45	0.54
3101	280.01	0.00184238	1.33776	1.03839	0.51	0.58
3201	294.361	0.00184238	1.29229	1.1609	0.53	0.47
3301	304.127	0.00184238	1.33605	1.0079	0.52	0.56
3401	311.874	0.00184238	1.00006	0.978722	0.69	0.61
3501	316.72	0.00184238	1.16036	1.09009	0.59	0.63
3601	330.796	0.00184238	0.937722	1.25645	0.69	0.57
3701	339.906	0.00184238	1.03664	0.974952	0.64	0.55
3801	347.251	0.00184238	1.16905	0.994475	0.59	0.62
3901	352.103	0.00184238	1.14128	0.932511	0.62	0.55
4001	366.27	0.00156602	1.10994	0.966355	0.64	0.61
4101	374.989	0.00156602	1.19122	0.887648	0.67	0.69
4201	382.052	0.00156602	1.24914	0.999973	0.57	0.62
4301	386.905	0.00156602	1.01041	0.931715	0.65	0.61
4401	401.784	0.00156602	0.992737	0.858995	0.69	0.67
4501	411.514	0.00156602	1.03438	0.947613	0.62	0.58
4601	419.006	0.00156602	1.17357	0.939197	0.56	0.7
4701	423.872	0.00156602	1.03612	0.898107	0.61	0.66
4801	438.467	0.00156602	1.09345	0.868061	0.62	0.65
4901	447.474	0.00156602	0.95769	0.874012	0.66	0.58
5001	454.215	0.00133112	0.9662	0.912901	0.65	0.63
5101	459.069	0.00133112	1.001	0.836095	0.65	0.68
5201	473.738	0.00133112	1.02353	0.847776	0.61	0.59
5301	482.488	0.00133112	0.825866	0.823938	0.73	0.69
5401	489.112	0.00133112	0.966419	0.862664	0.6	0.63
5501	493.958	0.00133112	1.12943	0.848674	0.63	0.63
5601	508.814	0.00133112	0.772667	0.861776	0.72	0.67
5701	517.59	0.00133112	0.890018	0.830581	0.77	0.66
5801	524.032	0.00133112	0.868429	0.7836	0.72	0.69
5901	528.887	0.00133112	0.999151	0.780358	0.64	0.65
6001	544.475	0.00113145	0.922482	0.774296	0.75	0.61
6101	553.842	0.00113145	0.802874	0.767437	0.76	0.69
6201	560.168	0.00113145	1.04283	0.800152	0.69	0.58
6301	564.999	0.00113145	1.05183	0.782545	0.67	0.71
6401	580.063	0.00113145	0.933823	0.79157	0.66	0.76
6501	589.046	0.00113145	1.24214	0.788121	0.6	0.72
6601	595.165	0.00113145	1.06345	0.779281	0.6	0.77
6701	600.009	0.00113145	1.01901	0.739914	0.72	0.66
6801	615.248	0.00113145	1.03547	0.739194	0.64	0.69
6901	624.003	0.00113145	0.892706	0.718631	0.76	0.78
7001	629.974	0.000961731	0.833753	0.751235	0.72	0.82
7101	634.813	0.000961731	0.974064	0.726272	0.71	0.72
7201	651.001	0.000961731	0.930574	0.77524	0.69	0.67
7301	660.511	0.000961731	0.687426	0.734893	0.74	0.71
7401	666.406	0.000961731	0.865247	0.707757	0.69	0.71
7501	671.256	0.000961731	0.824446	0.724885	0.7	0.73
7601	686.862	0.000961731	0.838637	0.741939	0.72	0.76
7701	696.041	0.000961731	0.813898	0.754288	0.7	0.74
7801	701.758	0.000961731	0.875973	0.709458	0.7	0.75
7901	706.597	0.000961731	0.823968	0.690795	0.7	0.71
8001	722.338	0.000817472	0.804726	0.7011	0.71	0.67
8101	731.157	0.000817472	0.829391	0.701688	0.73	0.7
8201	736.729	0.000817472	0.575341	0.749319	0.82	0.78
8301	741.591	0.000817472	0.870244	0.71361	0.67	0.67
8401	757.484	0.000817472	0.868708	0.677736	0.73	0.76
8501	766.205	0.000817472	0.710171	0.689307	0.74	0.81
8601	771.557	0.000817472	0.863319	0.708815	0.71	0.74
8701	776.399	0.000817472	0.702629	0.70284	0.77	0.71
8801	793.304	0.000817472	0.731741	0.65441	0.79	0.73
8901	803.019	0.000817472	0.788483	0.663074	0.72	0.64
9001	808.326	0.000694851	0.823968	0.676155	0.72	0.76
9101	813.156	0.000694851	0.840736	0.663433	0.67	0.73
9201	829.48	0.000694851	0.741822	0.730161	0.71	0.75
9301	838.453	0.000694851	0.533212	0.66277	0.87	0.8
9401	843.492	0.000694851	0.939325	0.654605	0.73	0.77
9501	848.343	0.000694851	0.502456	0.626933	0.83	0.76
9601	864.645	0.000694851	0.793068	0.687906	0.72	0.79
9701	873.359	0.000694851	0.749999	0.667189	0.72	0.77
9801	878.245	0.000694851	0.624229	0.643818	0.76	0.77
9901	890.617	0.000694851	0.588763	0.622219	0.76	0.79
10001	899.369	0.000590623	0.614767	0.652098	0.75	0.79
10101	908.064	0.000590623	0.63626	0.641946	0.78	0.78
10201	912.9	0.000590623	0.658011	0.686015	0.81	0.67
10301	925.739	0.000590623	0.680956	0.665248	0.76	0.85
10401	935.468	0.000590623	0.684429	0.660025	0.75	0.78
10501	944.502	0.000590623	0.605553	0.630862	0.82	0.82
10601	949.334	0.000590623	0.787997	0.671595	0.72	0.81
10701	962.198	0.000590623	0.591891	0.634551	0.79	0.72
10801	971.283	0.000590623	0.892684	0.593068	0.65	0.8
10901	979.973	0.000590623	0.794212	0.621259	0.76	0.79
11001	984.81	0.00050203	0.681991	0.612812	0.73	0.73
11101	997.828	0.00050203	0.756121	0.633057	0.74	0.7
11201	1006.52	0.00050203	0.740881	0.668172	0.77	0.81
11301	1014.78	0.00050203	0.653711	0.626447	0.78	0.74
11401	1019.61	0.00050203	0.782793	0.61338	0.82	0.78
11501	1032.78	0.00050203	0.486691	0.592935	0.86	0.76
11601	1041.51	0.00050203	0.661853	0.629575	0.77	0.73
11701	1049.53	0.00050203	0.731999	0.625266	0.74	0.76
11801	1054.38	0.00050203	0.586221	0.567301	0.79	0.8
11901	1067.97	0.00050203	0.630078	0.592889	0.82	0.85
12001	1077.28	0.000426725	0.456393	0.596604	0.84	0.75
12101	1085.37	0.000426725	0.61034	0.607362	0.84	0.76
12201	1090.2	0.000426725	0.653791	0.676217	0.81	0.7
12301	1103.69	0.000426725	0.634589	0.647447	0.79	0.81
12401	1112.61	0.000426725	0.517797	0.630195	0.79	0.82
12501	1120.7	0.000426725	0.440185	0.613287	0.83	0.8
12601	1125.54	0.000426725	0.711462	0.622958	0.82	0.8
12701	1139.2	0.000426725	0.568642	0.632812	0.78	0.8
12801	1147.93	0.000426725	0.727271	0.561411	0.71	0.67
12901	1155.47	0.000426725	0.642838	0.553817	0.81	0.79
